ID,Week,Order,Song,Genre,Subgenre,Youtube,Tags,Map,Mapper,Likes/Days,BPM,BPM 2,Revised BPM,Notes,,
,,10,Flyers [Death Parade Opening] – AmaLee,Pop,Anime,https://www.youtube.com/watch?v=yH0weQhzLvI,"ANIME, POP",https://bsaber.com/songs/b401/,https://bsaber.com/tag/joetastic,3.17,139.5,141.4300,,,,
,,11,[V2] Im. Scatman feat. Shirakami Fubuki – Hamburgaga,J-Pop,Meme,https://www.youtube.com/watch?v=VaqLk1YCv-s,-,https://bsaber.com/songs/b45a/,https://bsaber.com/tag/idlebob,6.50,121.5,143.5069,,,,
,,12,Ridin’ – Fise,Electronic,Deathstep,https://www.youtube.com/watch?v=gwd8Km5Kit0,-,https://bsaber.com/songs/b3a0/,https://bsaber.com/tag/rexxz,2.57,112.5,230.0000,,,,
,,13,Reol – Bon-no-yu-gi,J-Pop,Trap,https://www.youtube.com/watch?v=dhJrQPgedyU,360 DEGREE,https://bsaber.com/songs/b5a5/,https://bsaber.com/tag/pixelguymm,36.00,100.0,100.0000,,,,
,,14,For me,Electronic,Dance,https://www.youtube.com/watch?v=jIMfrJd78jw,-,https://bsaber.com/songs/b50d/,https://bsaber.com/tag/supremetax,8.50,124.0,125.8500,,,,
,,15,Dance! – Persona 4 Dancing All Night,Pop,Jazz,https://www.youtube.com/watch?v=p3jw89oIjmQ,-,https://bsaber.com/songs/b521/,https://bsaber.com/tag/iraky,12.00,135.0,134.6100,,,,
,,16,JoJo’s Bizarre Adventure Opening Compilation,J-Pop,Anime,https://www.youtube.com/watch?v=rA4eesTbNKE,"ANIME, J-POP",https://bsaber.com/songs/b3bd/,https://bsaber.com/tag/joetastic,5.83,137.0,132.9100,,,,
,,17,Best Part – The Score,Rock,Alternative,https://www.youtube.com/watch?v=GXDNMinUPXc,-,https://bsaber.com/songs/b4ab/,https://bsaber.com/tag/downycat,5.33,82.5,106.6900,,,,
,,18,Blue Stahli – Awaken,Electronic,Heavy EDM,https://www.youtube.com/watch?v=xMdOgCdHxjY,-,https://bsaber.com/songs/b3d4/,https://bsaber.com/tag/cyrix,2.67,80.0,107.0000,,,,
,,19,Primary | GLORIOUS DAYS | Chroma RGB,J-Pop,Alternative,https://www.youtube.com/watch?v=6y1zJX2oe8A,-,https://bsaber.com/songs/b46b/,https://bsaber.com/tag/aaltopahwi,4.00,109.5,83.4200,,,,
,,20,Uragirimono no Requiem (TV Size) [JoJo’s Bizarre Adventure: Golden Wind 2nd Opening] – Daisuke Hasegawa,J-Pop,Anime,https://www.youtube.com/watch?v=fqBNnC_apV4,"ANIME, J-POP",https://bsaber.com/songs/b3a2/,https://bsaber.com/tag/joetastic,3.14,172.0,167.6100,,,,
,,21,Tom Petty The Heartbreakers – Don’t Do Me Like That,Rock,Classic Rock,https://www.youtube.com/watch?v=T1aU1wbFSTs,-,https://bsaber.com/songs/b4e7/,https://bsaber.com/tag/majorpickle,5.67,115.5,117.2000,,,,
,,22,Bonk Bonk Bonk Bonk,Latin,Reggaeton,https://www.youtube.com/watch?v=R6Lc3PvBiS8,-,https://bsaber.com/songs/b4f2/,https://bsaber.com/tag/dennileon1,-2.33,118.5,231.4500,,,,
4,06-30-2020,1,[[Wall Show + Chroma]] GAS GAS GAS | Manuel,Electronic,Eurobeat,https://www.youtube.com/watch?v=_6R3J-cEbSU,"ANIME, ELECTRONIC, EUROBEAT",https://bsaber.com/songs/b514/,https://bsaber.com/tag/thelightdesigner,96.60,101.5,77.0600,,This one is the same as last week,,
,,2,No Rain – Blind Melon,Rock,Indie,https://www.youtube.com/watch?v=3qVPNONdF58,"360 DEGREE, 90 DEGREE",https://bsaber.com/songs/b7b1/,https://bsaber.com/tag/techbutterfly,34.00,111.0,75.0300,,,,
,,3,Powerwolf – Venom of Venus,Rock,Metal,https://www.youtube.com/watch?v=Wna4zDioxQw,-,https://bsaber.com/songs/b7aa/,https://bsaber.com/tag/cyrix,39.50,82.5,158.3600,,,,
,,4,Hare Hare Yukai (Short Ver.) [The Melancholy of Haruhi Suzumiya Ending],J-Pop,Anime,https://www.youtube.com/watch?v=x2iKC0C32-g,"ANIME, DANCE, J-POP, JAPANESE",https://bsaber.com/songs/b784/,https://bsaber.com/tag/etan,20.67,115.5,171.9900,,,,
,,5,Falling – Dropgun x Asketa & Natan Chaim,Electronic,House,https://www.youtube.com/watch?v=P3sutvBPERY,-,https://bsaber.com/songs/b724/,https://bsaber.com/tag/teuflum,18.00,126.5,63.0000,,,,
,,6,Bryan Adams – Summer of 69,Rock,Classic Rock,https://www.youtube.com/watch?v=eFjjO_lhf9c,-,https://bsaber.com/songs/b7d6/,https://bsaber.com/tag/majorpickle,22.50,139.0,142.8800,,,,
,,7,Reol – Bon-no-yu-gi,J-Pop,Trap,https://www.youtube.com/watch?v=dhJrQPgedyU,"360 DEGREE, J-POP, JAPANESE",https://bsaber.com/songs/b5a5/,https://bsaber.com/tag/pixelguymm,6.67,100.0,100.0000,,,,
,,8,Sakuranbo – Otsuka Ai,J-Pop,Indie,https://www.youtube.com/watch?v=upODO6OuOOk,-,https://bsaber.com/songs/b5ff/,https://bsaber.com/tag/emir,4.86,85.0,85.2200,,,,
,,9,PSYQUI feat. Such – Eyes On Me,Electronic,Drumstep,https://www.youtube.com/watch?v=i4w65eoL6PA,-,https://bsaber.com/songs/b7ea/,https://bsaber.com/tag/xhera,15.50,84.0,168.0000,,,,
,,10,Minami -「 Amewomatsu、」美波「アメヲマツ、」,J-Pop,Alternative,https://www.youtube.com/watch?v=766qmHTc2ro,-,https://bsaber.com/songs/b80b/,https://bsaber.com/tag/smileeaglet,31.00,150.5,158.6300,,,,
,,11,Kaerimichi [22/7 Soundtrack] – Sakura Fujima,J-Pop,Eurobeat,https://www.youtube.com/watch?v=Jhuf1bP61A4,"ANIME, J-POP, SOUNDTRACK",https://bsaber.com/songs/b6ad/,https://bsaber.com/tag/joetastic,5.40,176.0,87.5000,,,,
,,12,"My Soul, Your Beats! [iDOLM@STER Soundtrack] – Chieri Ogata",J-Pop,Anime,https://www.youtube.com/watch?v=zIFV8UUs1-c,"ANIME, J-POP, SOUNDTRACK",https://bsaber.com/songs/b5fb/,https://bsaber.com/tag/joetastic,5.14,145.5,145.0300,,,,
,,13,Different Heaven – Nekozilla,Electronic,Dance,https://www.youtube.com/watch?v=6FNHe3kf8_s,-,https://bsaber.com/songs/b5f4/,https://bsaber.com/tag/exeiron,3.71,128.5,127.4400,,,,
,,14,staple stable [22/7 Soundtrack] – Miu Takigawa,J-Pop,Anime,https://www.youtube.com/watch?v=OvmQvOucP70,"ANIME, J-POP, SOUNDTRACK",https://bsaber.com/songs/b60a/,https://bsaber.com/tag/joetastic,3.83,122.5,121.9800,,,,
,,15,Help Is On The Way – Rise Against,Rock,Alternative,https://www.youtube.com/watch?v=JHiqGqoIGII,"ALTERNATIVE, PUNK, ROCK",https://bsaber.com/songs/b7a4/,https://bsaber.com/tag/joetastic,19.00,108.5,213.0700,,,,
,,16,Superhuman (Nightcore),Electronic,Nightcore,https://www.youtube.com/watch?v=2Uj9OYv3pdI,-,https://bsaber.com/songs/b781/,https://bsaber.com/tag/tranch,10.00,161.5,165.2300,,,,
,,17,"Lost Princess (TV Size) [Princess Connect! Re:Dive Opening] – Pecorine (CV: Mao Ichimichi), Kokkoro (CV: Milku Itou), Kiruya (CV: Rika Tachibana)",J-Pop,Anime,https://www.youtube.com/watch?v=ZK7TS7-qMEg,"ANIME, J-POP",https://bsaber.com/songs/b71d/,https://bsaber.com/tag/joetastic,5.00,105.0,74.3500,,,,
,,18,PREPARING THE KRABBY PATTY,TV/Movies,Meme,https://www.youtube.com/watch?v=DZ-VT50SgUo,-,https://bsaber.com/songs/b662/,https://bsaber.com/tag/jokidum,3.80,99.0,140.1769,,,,
,,19,Departure! (TV Size) [Hunter X Hunter – Opening 1] – Masatoshi Ono,J-Pop,Anime,https://www.youtube.com/watch?v=faqmNf_fZlE,-,https://bsaber.com/songs/b6c8/,https://bsaber.com/tag/rigid,4.75,107.0,151.9700,,,,
,,20,PoPiPo feat. Hatsune Miku – LamazeP,J-Pop,Vocaloid,https://www.youtube.com/watch?v=_Sp2ir7oFYc,-,https://bsaber.com/songs/b7a6/,https://bsaber.com/tag/idlebob,16.50,150.5,150.0000,,,,
5,07-10-2020,1,ryo(supercell) – World is Mine/ワールドイズマイン – feat. Hatsune Miku,J-Pop,Vocaloid,https://www.youtube.com/watch?v=NY__VTIUsiU,-,https://bsaber.com/songs/b95f/,https://bsaber.com/tag/fefy,8.17,132.5,165.0000,,,,
,,2,Everyday – Virtual Riot,Electronic,LoFi,https://www.youtube.com/watch?v=C_cQ3zpX-VU,-,https://bsaber.com/songs/bbf5/,https://bsaber.com/tag/wemadethis,23.00,160.5,80.0000,,,,
,,3,Summer in the City – Styx,Rock,Hard Rock,https://www.youtube.com/watch?v=RevG_97TgnA,"360 DEGREE, 90 DEGREE",https://bsaber.com/songs/b937/,https://bsaber.com/tag/techbutterfly,6.00,107.0,214.6500,,,,
,,4,Dr Meaker – Freaks (ft. Cappo D & Sharlene Hector),Electronic,DnB,https://www.youtube.com/watch?v=Q-7JsAmSnEY,-,https://bsaber.com/songs/b96a/,https://bsaber.com/tag/pkdan,7.00,88.0,174.2000,,,,
,,5,David Bowie – Magic Dance (from Labyrinth OST),Rock,Classic Rock,https://www.youtube.com/watch?v=j6NqnYYmSVE,-,https://bsaber.com/songs/b989/,https://bsaber.com/tag/noxn,5.33,106.0,105.8400,,,,
,,6,GHOST DATA – PROJEKT MELODY (ft. AL!CE),Electronic,Drumstep,https://www.youtube.com/watch?v=mqoEplBvXkI,-,https://bsaber.com/songs/b97f/,https://bsaber.com/tag/nitronikexe,8.00,161.0,120.0000,,,,
,,7,Centimeter (kanojo okarishimasu [Rental Girlfriend] op),J-Pop,Anime,https://www.youtube.com/watch?v=qks-E01OR24,-,https://bsaber.com/songs/b928/,https://bsaber.com/tag/emir,4.14,140.5,63.9800,,,,
,,8,You Are Mine ft Kayliana – S3RL,Electronic,Dance,https://www.youtube.com/watch?v=FF3Dr3_h0Hw,"DANCE, EDM, HARDCORE",https://bsaber.com/songs/bba4/,https://bsaber.com/tag/xscaramouche,19.00,138.5,175.0000,,,,
,,9,Renai Circulation [22/7 Soundtrack] – Ayaka Tachikawa,J-Pop,Anime,https://www.youtube.com/watch?v=lv8qOhDx6Yo,"ANIME, J-POP, SOUNDTRACK",https://bsaber.com/songs/bb96/,https://bsaber.com/tag/joetastic,18.50,142.5,60.0000,,,,
,,10,Fruit Ninja in Beat Saber!,Video Game,Meme,https://www.youtube.com/watch?v=OmyMGSu-Wgg,-,https://bsaber.com/songs/bb27/,https://bsaber.com/tag/nitronikexe,19.00,116.5,156.5800,,,,
,,11,Aurora – Synthion,J-Pop,Eurobeat,https://www.youtube.com/watch?v=R2rjsTQEXWg,-,https://bsaber.com/songs/b95d/,https://bsaber.com/tag/meezonugget,5.33,88.0,87.4900,,,,
,,12,Takahashi Youko – A Cruel Angel’s Thesis/残酷な天使のテーゼ – Nightcore,J-Pop,Nightcore,https://www.youtube.com/watch?v=4Q4LGphbE60,-,https://bsaber.com/songs/b95e/,https://bsaber.com/tag/fefy,5.33,148.0,147.2200,,,,
,,13,JVNA – Catch Me (Chroma RGB lights),Pop,EDM,https://www.youtube.com/watch?v=Nyiwp349c2o,ELECTRONIC,https://bsaber.com/songs/bc4e/,https://bsaber.com/tag/nitronikexe,45.00,150.5,151.0100,,,,
,,14,Fleetwood Mac – Hold Me,Rock,Classic Rock,https://www.youtube.com/watch?v=E0sha1XfHxw,-,https://bsaber.com/songs/bbd1/,https://bsaber.com/tag/majorpickle,11.00,126.5,128.8400,,,,
,,15,Get Up – Tokyo Machine,Electronic,Drumstep,https://www.youtube.com/watch?v=ExEAKQDz0E8,-,https://bsaber.com/songs/ba25/,https://bsaber.com/tag/mx20100,5.50,128.5,128.0600,,,,
,,16,"MY FIRST STORY – 1,000,000 TIMES feat. chelly (EGOIST)",J-Pop,Alternative,https://www.youtube.com/watch?v=OMrkUUNvM48,-,https://bsaber.com/songs/ba93/,https://bsaber.com/tag/smileeaglet,5.25,134.0,99.9800,,,,
,,17,🌠Starride🌠- Mysteka,Electronic,Drumstep,https://www.youtube.com/watch?v=DsZdx9E0-1s,-,https://bsaber.com/songs/b9bd/,https://bsaber.com/tag/ryger,5.40,113.5,171.0400,,,,
,,18,Hollowness – Minami,J-Pop,Indie,https://www.youtube.com/watch?v=HIRiduzNLzQ,-,https://bsaber.com/songs/bc84/,https://bsaber.com/tag/tootie,20.73,103.0,205.0600,,,,
,,19,R.O.C.K. in the USA – John Mellencamp,Pop,Classic Rock,https://www.youtube.com/watch?v=SgtmStUrXMQ,90 DEGREE,https://bsaber.com/songs/b993/,https://bsaber.com/tag/techbutterfly,3.17,81.0,80.1700,,,,
,,20,The Nights – Avicii,Electronic,EDM,https://www.youtube.com/watch?v=UtF6Jej8yb4,-,https://bsaber.com/songs/b94a/,https://bsaber.com/tag/thelightdesigner,4.43,127.0,126.0000,,,,
6,07-13-2020,1,That’s Life – Frank Sinatra,Pop,Jazz,https://www.youtube.com/watch?v=TnlPtaPxXfc,"360 DEGREE, 90 DEGREE",https://bsaber.com/songs/bdc7/,https://bsaber.com/tag/techbutterfly,37.50,150.5,75.5700,,,,
,,2,Never Gonna Give You Up (Well Mapped+Timed Version),Pop,Classic Pop,https://www.youtube.com/watch?v=dQw4w9WgXcQ,-,https://bsaber.com/songs/bd45/,https://bsaber.com/tag/thelightdesigner,27.00,114.0,113.5700,,,,
,,3,Everyday – Virtual Riot,Electronic,LoFi,https://www.youtube.com/watch?v=C_cQ3zpX-VU,-,https://bsaber.com/songs/bbf5/,https://bsaber.com/tag/wemadethis,9.20,160.5,80.0000,,,,
,,4,Fireflies – Owl City,Pop,Indie,https://www.youtube.com/watch?v=psuRGfAaju4,-,https://bsaber.com/songs/bd41/,https://bsaber.com/tag/tranch,18.67,120.5,181.4100,,,,
,,5,Portal 2 – Turret Opera / Cara Mia Addio,Video Game,Vocaloid,https://www.youtube.com/watch?v=tL_TFXbSnLY,-,https://bsaber.com/songs/bd23/,https://bsaber.com/tag/jokidum,16.33,,102.0100,,,,
,,6,Kuchibairo no Oto,J-Pop,Ballad,https://www.youtube.com/watch?v=CYIntGsjNMs,-,https://bsaber.com/songs/be25/,https://bsaber.com/tag/emir,16.00,100.5,66.6700,,,,
,,7,Kurenai [Taiko no Tatsujin Soundtrack] – X Japan,Video Game,Alternative,https://www.youtube.com/watch?v=wa1nD_IwbkA,-,https://bsaber.com/songs/bca5/,https://bsaber.com/tag/joetastic,7.25,158.0,67.9900,,,,
,,8,You Are Mine ft Kayliana – S3RL,Electronic,Dance,https://www.youtube.com/watch?v=FF3Dr3_h0Hw,"DANCE, EDM, HARDCORE",https://bsaber.com/songs/bba4/,https://bsaber.com/tag/xscaramouche,6.33,138.5,175.0000,,,,
,,9,Renai Circulation [22/7 Soundtrack] – Ayaka Tachikawa,J-Pop,Anime,https://www.youtube.com/watch?v=lv8qOhDx6Yo,"ANIME, J-POP, SOUNDTRACK",https://bsaber.com/songs/bb96/,https://bsaber.com/tag/joetastic,6.17,142.5,60.0000,,,,
,,10,Fruit Ninja in Beat Saber!,Video Game,Meme,https://www.youtube.com/watch?v=OmyMGSu-Wgg,-,https://bsaber.com/songs/bb27/,https://bsaber.com/tag/nitronikexe,9.50,116.5,156.5800,,,,
,,11,JVNA – Catch Me (Chroma RGB lights),Pop,EDM,https://www.youtube.com/watch?v=g9iPElq4qW4,ELECTRONIC,https://bsaber.com/songs/bc4e/,https://bsaber.com/tag/nitronikexe,11.25,151.0,151.0100,,,,
,,12,Fleetwood Mac – Hold Me,Rock,Classic Rock,https://www.youtube.com/watch?v=E0sha1XfHxw,-,https://bsaber.com/songs/bbd1/,https://bsaber.com/tag/majorpickle,4.40,126.5,128.8400,,,,
